date,Youtube,isPartial
2022-07-17,96,False
2022-07-24,92,False
2022-07-31,92,False
2022-08-07,93,False
2022-08-14,100,False
2022-08-21,92,False
2022-08-28,94,False
2022-09-04,94,False
2022-09-11,91,False
2022-09-18,87,False
2022-09-25,91,False
2022-10-02,90,False
2022-10-09,93,False
2022-10-16,92,False
2022-10-23,96,False
2022-10-30,89,False
2022-11-06,95,False
2022-11-13,94,False
2022-11-20,84,False
2022-11-27,82,False
2022-12-04,82,False
2022-12-11,90,False
2022-12-18,93,False
2022-12-25,91,False
2023-01-01,84,False
2023-01-08,88,False
2023-01-15,86,False
2023-01-22,86,False
2023-01-29,95,False
2023-02-05,92,False
2023-02-12,90,False
2023-02-19,92,False
2023-02-26,91,False
2023-03-05,88,False
2023-03-12,87,False
2023-03-19,84,False
2023-03-26,82,False
2023-04-02,84,False
2023-04-09,87,False
2023-04-16,78,False
2023-04-23,76,False
2023-04-30,82,False
2023-05-07,84,False
2023-05-14,83,False
2023-05-21,85,False
2023-05-28,84,False
2023-06-04,86,False
2023-06-11,90,False
2023-06-18,86,False
2023-06-25,85,False
2023-07-02,84,False
2023-07-09,95,True
